GENE HGNC_GENE
28 ABO
92 ACVR2A
348 APOE
368 ABCC6
463 ZFHX3
516 ATP5G1
534 ATP6V1G2
627 BDNF
717 C2
783 CACNB2
818 CAMK2G
949 SCARB1
995 CDC25C
1021 CDK6
1026 CDKN1A
1030 CDKN2B
1031 CDKN2C
1108 CHD4
1143 CHRNB4
1187 CLCNKA
1340 COX6B1
1360 CPB1
1455 CSNK1G2
1495 CTNNA1
1869 E2F1
1952 CELSR2
1981 EIF4G1
2060 EPS15
2176 FANCC
2201 FBN2
2535 FZD2
2565 GABRG1
2676 GFRA3
2690 GHR
2696 GIPR
2775 GNAO1
2908 NR3C1
2969 GTF2I
3535 IGL
3569 IL6
3658 IREB2
3700 ITIH4
3708 ITPR1
3757 KCNH2
3777 KCNK3
4023 LPL
4046 LSP1
4166 CHST6
4209 MEF2D
4239 MFAP4
4291 MLF1
4299 AFF1
4300 MLLT3
4542 MYO1F
4629 MYH11
4691 NCL
4828 NMB
4836 NMT1
4864 NPC1
5000 ORC4
5122 PCSK1
5308 PITX2
5500 PPP1CB
5587 PRKD1
5598 MAPK7
5691 PSMB3
5713 PSMD7
5918 RARRES1
5992 RFX4
6499 SKIV2L
6532 SLC6A4
6598 SMARCB1
6631 SNRPC
6801 STRN
7046 TGFBR1
7124 TNF
7187 TRAF3
7318 UBA7
7466 WFS1
7482 WNT2B
7572 ZNF24
7703 PCGF2
7709 ZBTB17
7884 SLBP
7936 NELFE
8022 LHX3
8028 MLLT10
8446 DUSP11
8509 NDST2
8539 API5
8661 EIF3A
8771 TNFRSF6B
8780 RIOK3
8816 DCAF5
8824 CES2
8859 STK19
8927 BSN
9026 HIP1R
9110 MTMR4
9162 DGKI
9179 AP4M1
9262 STK17B
9267 CYTH1
9531 BAG3
9632 SEC24C
9640 ZNF592
9651 PLCH2
9690 UBE3C
9718 ECE2
9757 KMT2B
9807 IP6K1
9989 PPP4R1
10061 ABCF2
10293 TRAIP
10428 CFDP1
10485 C1orf61
10554 AGPAT1
10642 IGF2BP1
10919 EHMT2
10949 HNRNPA0
10973 ASCC3
11045 UPK1A
11094 CACFD1
11151 CORO1A
11200 CHEK2
11281 POU6F2
22809 ATF5
22924 MAPRE3
22996 TTC39A
23022 PALLD
23053 ZSWIM8
23066 CAND2
23090 ZNF423
23293 SMG6
23373 CRTC1
23478 SEC11A
23516 SLC39A14
23583 SMUG1
23660 ZKSCAN5
23705 CADM1
25875 LETMD1
25934 NIPSNAP3A
26010 SPATS2L
26045 LRRTM2
26084 ARHGEF26
26249 KLHL3
27033 ZBTB32
27039 PKD2L2
27086 FOXP1
27129 HSPB7
27243 CHMP2A
27291 R3HCC1L
27327 TNRC6A
29803 REPIN1
29887 SNX10
29915 HCFC2
29919 C18orf8
29923 HILPDA
29945 ANAPC4
30819 KCNIP2
50488 MINK1
51002 TPRKB
51144 HSD17B12
51232 CRIM1
51306 FAM13B
51373 MRPS17
51471 NAT8B
51652 CHMP3
51725 FBXO40
51760 SYT17
54497 HEATR5B
54664 TMEM106B
54887 UHRF1BP1
54897 CASZ1
54923 LIME1
54993 ZSCAN2
55006 TRMT61B
55011 PIH1D1
55023 PHIP
55090 MED9
55152 DALRD3
55218 EXD2
55335 NIPSNAP3B
55450 CAMK2N1
55471 NDUFAF7
55534 MAML3
55727 BTBD7
55761 TTC17
55823 VPS11
55851 PSENEN
55957 LIN37
55974 SLC50A1
56172 ANKH
56341 PRMT8
56893 UBQLN4
56896 DPYSL5
57092 PCNP
57121 LPAR5
57282 SLC4A10
57452 GALNT16
57538 ALPK3
57602 USP36
58489 ABHD17C
58529 MYOZ1
63826 SRR
63891 RNF123
63951 DMRTA1
64374 SIL1
64771 C6orf106
64799 IQCH
79018 GID4
79027 ZNF655
79047 KCTD15
79068 FTO
79713 IGFLR1
79719 AAGAB
79720 VPS37B
79877 DCAKD
79933 SYNPO2L
80045 GPR157
80315 CPEB4
80816 ASXL3
81566 CSRNP2
83450 LRRC48
83851 SYT16
84081 NSRP1
84134 TOMM40L
84163 GTF2IRD2
84171 LOXL4
84332 DYDC2
84660 CCDC62
84824 FCRLA
84905 ZNF341
84942 WDR73
85019 TMEM241
90488 TMEM263
90523 MLIP
113220 KIF12
114900 C1QTNF4
116369 SLC26A8
124491 TMEM170A
124535 HSF5
124626 ZPBP2
126133 ALDH16A1
134728 IRAK1BP1
143187 VTI1A
143241 DYDC1
146225 CMTM2
148137 PROSER3
148979 GLIS1
150248 C22orf15
152831 KLB
153571 C5orf38
154150 HDGFL1
170384 FUT11
202052 DNAJC18
221491 C6orf1
221955 DAGLB
245711 SPDYA
252884 ZNF396
253635 GPATCH11
283093 OR4C12
284018 C17orf58
284083 C17orf47
284486 THEM5
284546 C1orf185
285989 ZNF789
374786 EFCAB5
375346 TMEM110
375757 SWI5
387509 GPR153
388960 C2orf78
389118 CDHR4
389125 MUSTN1
389333 PROB1
389541 LAMTOR4
390992 HES3
392617 ELFN1
404636 FAM45A
442590 SPDYE5
729092 AGAP5
100101267 POM121C
100288413 ERVMER34-1
100526767 RNF103-CHMP3
100526772 TMEM110-MUSTN1
101928566 TBC1D3P6
